A_0,A_1,A_2,R_0,R_1,R_2,R_3,R_4,R_5,R_6,R_7,Class,Fitness,Accuracy,Numerosity,Avg Match Set Size,TimeStamp GA,Iteration Initialized,Specificity,Deletion Probability,Correct Count,Match Count
#,#,#,#,#,1.0,#,1.0,#,1.0,#,1.0,0.16501426337206934,0.6974358974358974,2,72.53228310459032,4997,465,0.2727272727272727,0.001783734391832427,408,585
0.0,0.0,0.0,0.0,#,#,#,#,#,#,#,0.0,1.0,1.0,12,66.3272010620601,4971,470,0.36363636363636365,0.009786823570225662,309,309
1.0,#,#,#,#,1.0,#,#,#,0.0,#,0.0,0.11370759571131073,0.6473779385171791,1,68.95691747064976,4954,496,0.2727272727272727,0.0008479039951753842,358,553
0.0,#,#,#,#,0.0,#,#,#,#,#,0.0,0.11360429832497125,0.6472602739726028,1,69.0842592729671,4984,505,0.18181818181818182,0.0008494698079596297,756,1168
0.0,1.0,#,#,#,1.0,#,#,0.0,#,1.0,1.0,0.2749477070367925,0.7724137931034483,2,67.43554033023142,4920,515,0.45454545454545453,0.0016583938540220013,112,145
0.0,0.0,#,0.0,0.0,#,#,#,#,#,#,0.0,1.0,1.0,9,72.70649513052251,4984,533,0.36363636363636365,0.008046083984300508,283,283
1.0,1.0,#,#,#,#,#,1.0,1.0,#,0.0,0.0,0.15359020233154297,0.6875,1,64.48117483728586,4919,538,0.45454545454545453,0.0007928696317002287,88,128
#,0.0,0.0,#,#,#,1.0,1.0,#,0.0,#,1.0,0.2072035368091696,0.7299270072992701,1,78.70445065584624,4959,559,0.45454545454545453,0.0009677610397474616,100,137
0.0,0.0,#,1.0,0.0,1.0,1.0,1.0,1.0,0.0,#,1.0,0.0003200000000000001,0.2,1,52.824576,3518,559,0.8181818181818182,0.0006495384462756738,2,10
1.0,#,#,0.0,0.0,#,#,1.0,#,1.0,#,1.0,0.16806999999999994,0.7,1,75.30854338984895,4908,570,0.45454545454545453,0.0009576933107599125,91,130
#,#,1.0,#,0.0,#,0.0,#,#,#,#,0.0,0.24710935412080362,0.7560975609756098,2,66.04605942000647,4994,579,0.2727272727272727,0.0016242233470383876,434,574
0.0,1.0,#,1.0,#,1.0,#,1.0,1.0,#,#,1.0,0.2693290743429045,0.7692307692307693,1,81.73807915914696,4980,591,0.5454545454545454,0.0010050629642269226,60,78
0.0,#,#,1.0,0.0,1.0,1.0,#,#,0.0,#,1.0,0.1404633727505595,0.6753246753246753,1,57.6104076479581,4920,607,0.5454545454545454,0.0007083857080644226,52,77
1.0,#,#,0.0,0.0,#,1.0,1.0,#,#,1.0,1.0,0.17927081284810403,0.7090909090909091,1,75.81868019186558,4854,618,0.5454545454545454,0.000932277198599693,39,55
0.0,#,#,1.0,#,1.0,#,#,1.0,#,#,1.0,0.22836528711039186,0.7442622950819672,1,79.47396101246656,4980,622,0.36363636363636365,0.0009772230477611598,227,305
1.0,1.0,#,#,#,#,#,#,0.0,#,0.0,0.0,0.26364723082896674,0.7659574468085106,1,63.38455767701056,4998,663,0.36363636363636365,0.0007744195455021852,216,282
1.0,1.0,0.0,#,#,#,#,#,#,0.0,#,0.0,1.0,1.0,13,74.53692757372671,4935,663,0.36363636363636365,0.011914715636207123,259,259
