A_0,A_1,A_2,R_0,R_1,R_2,R_3,R_4,R_5,R_6,R_7,Class,Fitness,Accuracy,Numerosity,Avg Match Set Size,TimeStamp GA,Iteration Initialized,Specificity,Deletion Probability,Correct Count,Match Count
1.0,#,#,0.0,#,#,0.0,#,0.0,0.0,#,0.0,0.1877644812763284,0.7156862745098039,1,69.90697980255575,4954,2197,0.45454545454545453,0.0008595860957743793,73,102
#,#,1.0,#,#,0.0,#,#,0.0,1.0,0.0,0.0,0.4234790289079717,0.8421052631578947,1,73.78896070298393,4998,2207,0.45454545454545453,0.000934337056622309,80,95
0.0,1.0,#,0.0,#,#,1.0,#,#,#,0.0,1.0,0.29456172965920824,0.7831325301204819,2,71.30119136387805,4962,2216,0.45454545454545453,0.0017534590360402643,65,83
1.0,0.0,#,0.0,0.0,1.0,#,1.0,1.0,1.0,#,0.0,0.0,0.0,1,72.5,2227,2227,0.7272727272727273,0.0008914702383032161,0,4
0.0,#,#,1.0,1.0,1.0,#,#,1.0,#,#,1.0,0.604582205516469,0.9042553191489362,1,92.92201380455356,4980,2239,0.45454545454545453,0.0011425822039994498,85,94
0.0,#,0.0,1.0,1.0,#,1.0,0.0,1.0,#,1.0,1.0,0.13168724279835387,0.6666666666666666,1,61.04192,4651,2240,0.7272727272727273,0.0007505800685363566,6,9
1.0,#,1.0,1.0,1.0,1.0,#,#,0.0,1.0,#,0.0,0.3540925979614258,0.8125,1,58.108609978368,4764,2244,0.6363636363636364,0.0007145116742742671,13,16
0.0,#,1.0,#,#,1.0,0.0,#,#,#,0.0,0.0,0.3035966957071313,0.7878787878787878,2,64.57390174851056,4993,2272,0.45454545454545453,0.0015880196297907085,52,66
0.0,0.0,0.0,#,1.0,#,#,0.0,1.0,#,1.0,1.0,0.13168724279835387,0.6666666666666666,1,62.446707200000006,4569,2282,0.6363636363636364,0.000767853530328761,8,12
#,1.0,0.0,#,#,1.0,1.0,#,#,#,#,1.0,0.16529662857527172,0.6976744186046512,1,72.20698652108995,4962,2296,0.36363636363636365,0.0008878673031877679,120,172
#,#,#,1.0,1.0,#,#,#,#,1.0,#,1.0,0.1487127029766701,0.683076923076923,1,61.556118933331845,4980,2299,0.2727272727272727,0.0007709084016872723,222,325
1.0,#,1.0,0.0,#,#,#,#,0.0,#,#,0.0,0.3515304336386046,0.8113207547169812,1,74.38975512272995,4998,2302,0.36363636363636365,0.00094357137290752,129,159
1.0,0.0,1.0,#,#,#,#,#,1.0,#,#,1.0,1.0,1.0,9,63.766635223196445,4997,2351,0.36363636363636365,0.007243959845414564,169,169
1.0,#,0.0,#,#,#,#,0.0,#,0.0,#,0.0,1.0,1.0,15,76.54106720050365,4954,2360,0.36363636363636365,0.014117396569079062,175,175
#,0.0,0.0,0.0,#,0.0,#,#,#,0.0,#,0.0,0.2731986815017553,0.7714285714285715,1,77.47484458729818,4844,2366,0.45454545454545453,0.0009526416298861151,54,70
#,1.0,#,#,0.0,1.0,#,#,#,#,#,1.0,0.09196989344665418,0.6204819277108434,1,67.19100808773265,4934,2370,0.2727272727272727,0.0008261901240248877,206,332
#,1.0,#,#,#,1.0,1.0,1.0,#,#,#,1.0,0.2790863676785695,0.7747252747252747,1,78.1793085546379,4966,2402,0.36363636363636365,0.0009613038183114996,141,182
#,0.0,1.0,1.0,0.0,0.0,#,#,#,#,0.0,0.0,0.4113109068164202,0.8372093023255814,1,68.56253779069435,4958,2412,0.5454545454545454,0.0008430546469371525,36,43
#,0.0,#,0.0,0.0,#,#,#,0.0,#,1.0,0.0,0.38605762138600824,0.8266666666666667,1,79.91939720326857,4915,2429,0.45454545454545453,0.0009827001940668583,62,75
1.0,1.0,#,#,#,#,#,1.0,1.0,1.0,#,1.0,0.2715439396649689,0.7704918032786885,1,74.91855873174221,4974,2462,0.45454545454545453,0.0009212091780126858,47,61
0.0,#,#,#,1.0,1.0,1.0,#,0.0,1.0,0.0,1.0,0.3066820026178275,0.7894736842105263,1,68.1404915376128,4962,2512,0.6363636363636364,0.0008378651066087444,15,19
1.0,0.0,1.0,#,#,#,#,#,0.0,#,#,0.0,1.0,1.0,15,77.22965123886674,4994,2527,0.36363636363636365,0.014244400467721408,146,146
0.0,#,#,1.0,1.0,0.0,0.0,1.0,#,0.0,#,1.0,0.03125,0.5,1,69.590532796416,4622,2540,0.6363636363636364,0.0008556950186988793,8,16
#,0.0,#,0.0,#,1.0,#,#,#,0.0,#,0.0,0.0842909133538739,0.6097560975609756,1,66.79101394937145,4954,2550,0.36363636363636365,0.0008212717396132358,100,164
0.0,#,0.0,#,1.0,1.0,#,#,1.0,#,#,1.0,0.3276800000000001,0.8,1,82.23492897276421,4980,2563,0.45454545454545453,0.001011172299699285,64,80
0.0,#,1.0,#,#,#,0.0,#,#,#,#,0.0,0.25872690851894115,0.7630769230769231,2,61.98460796008759,4993,2576,0.2727272727272727,0.0015243429856361575,248,325
#,0.0,0.0,0.0,#,#,#,#,#,#,#,0.0,0.2757808812954615,0.7728813559322034,3,70.53805710649516,4971,2582,0.2727272727272727,0.0026020377342692324,228,295
#,1.0,1.0,#,#,#,1.0,#,#,1.0,#,1.0,0.30286759735107416,0.7875,2,71.99249593377085,4975,2586,0.36363636363636365,0.0018134501520062143,126,160
0.0,1.0,#,#,#,0.0,0.0,#,#,#,#,0.0,1.0,1.0,10,77.5916238370244,4976,2594,0.36363636363636365,0.009540775640320779,160,160
0.0,#,0.0,#,#,0.0,1.0,1.0,0.0,0.0,#,1.0,0.005810451002558458,0.35714285714285715,1,66.40657039359999,4262,2598,0.6363636363636364,0.0008165445673611294,5,14
#,1.0,1.0,#,#,#,#,#,#,0.0,1.0,1.0,0.19554144577770538,0.7215189873417721,2,64.49394085957516,4966,2599,0.36363636363636365,0.0015860532090261794,114,158
0.0,#,#,#,1.0,1.0,#,1.0,1.0,#,#,1.0,0.3066820026178275,0.7894736842105263,1,84.30001815553035,4980,2617,0.45454545454545453,0.001036564927918291,75,95
1.0,0.0,#,#,#,#,#,#,0.0,#,#,0.0,0.22548128144079202,0.7423728813559322,3,75.5002201148748,4994,2624,0.2727272727272727,0.002785084105562181,219,295
#,1.0,1.0,#,1.0,1.0,#,#,0.0,0.0,1.0,1.0,0.095367431640625,0.625,2,47.806532562944,4811,2632,0.6363636363636364,0.0011756717510713972,10,16
#,1.0,1.0,#,1.0,#,0.0,#,0.0,0.0,1.0,1.0,0.0012620658543943514,0.2631578947368421,1,45.3517087915049,4811,2632,0.6363636363636364,0.0005576510157768405,5,19
1.0,1.0,#,#,1.0,#,#,1.0,1.0,1.0,#,1.0,0.1991161489782947,0.7241379310344828,1,73.85034982981745,4917,2641,0.5454545454545454,0.0009080743305043206,21,29
#,#,1.0,1.0,0.0,#,0.0,#,#,1.0,#,0.0,0.19123137022949369,0.7183098591549296,1,65.5413776348241,4994,2655,0.45454545454545453,0.0008059060350184514,51,71
#,0.0,1.0,#,0.0,#,#,#,0.0,#,#,0.0,1.0,1.0,17,83.49972320835653,4994,2658,0.36363636363636365,0.01745431459994076,141,141
#,0.0,#,0.0,#,#,1.0,0.0,0.0,#,#,0.0,0.5417169694823225,0.8846153846153846,1,83.31452142740343,4960,2663,0.45454545454545453,0.0010244471209793896,69,78
1.0,1.0,0.0,#,#,#,#,#,#,1.0,#,1.0,1.0,1.0,7,60.893220828725454,4983,2703,0.36363636363636365,0.005241261497691582,123,123
#,1.0,0.0,0.0,#,0.0,#,#,#,#,#,0.0,0.1763522736143192,0.706766917293233,1,67.21069616164776,4976,2709,0.36363636363636365,0.0008264322113620577,94,133
#,0.0,#,1.0,#,#,#,1.0,#,#,#,1.0,0.21929669359344825,0.738255033557047,1,76.25919641440932,4997,2710,0.2727272727272727,0.0009376938482808999,220,298
#,#,1.0,#,#,#,1.0,#,#,#,1.0,1.0,0.23193602552357678,0.7465753424657534,1,75.37580302786976,4975,2722,0.2727272727272727,0.0009268315184489841,218,292
1.0,#,0.0,#,#,#,#,1.0,#,1.0,#,1.0,1.0,1.0,12,79.18383169175353,4917,2723,0.36363636363636365,0.011683866919946363,124,124
1.0,#,0.0,#,#,#,#,#,#,0.0,1.0,0.0,0.2607826595131492,0.7642857142857142,1,75.77878992284298,4903,2735,0.36363636363636365,0.0009317867022185681,107,140
#,1.0,1.0,#,#,#,1.0,#,1.0,1.0,#,1.0,0.3331050475749608,0.8026315789473685,1,73.83640404500917,4975,2747,0.45454545454545453,0.0009079028511649225,61,76
#,1.0,0.0,#,0.0,#,#,#,#,1.0,#,1.0,0.24992449491401203,0.7578125,1,63.42036827848189,4983,2761,0.36363636363636365,0.0007798258044482204,97,128
1.0,#,0.0,#,1.0,#,#,#,#,1.0,#,1.0,0.20922153623797474,0.7313432835820896,1,63.39758292349505,4917,2775,0.36363636363636365,0.0007795456325056006,98,134
#,#,0.0,0.0,#,#,#,0.0,#,#,#,0.0,0.2545847061411768,0.7606177606177607,3,66.25655760455149,4976,2804,0.2727272727272727,0.0024440999667674603,197,259
#,1.0,0.0,#,#,1.0,#,0.0,#,#,#,1.0,0.17106760571860832,0.7024793388429752,1,71.76007163804807,4962,2811,0.36363636363636365,0.0008823719746734701,85,121
1.0,#,1.0,#,0.0,1.0,0.0,#,#,#,0.0,0.0,0.1134276198236865,0.6470588235294118,1,63.72829466116424,4756,2814,0.5454545454545454,0.000783612110734423,22,34
#,1.0,1.0,#,1.0,#,#,1.0,#,0.0,1.0,1.0,0.10644534557634333,0.6388888888888888,1,68.54173760942913,4966,2835,0.5454545454545454,0.000842798884970956,23,36
#,#,#,1.0,1.0,#,#,#,0.0,1.0,#,1.0,0.09619960313488579,0.6260869565217392,1,73.4393627512878,4922,2839,0.36363636363636365,0.0009030207753479569,72,115
1.0,#,#,1.0,#,#,1.0,#,0.0,#,0.0,0.0,0.30974573454843535,0.7910447761194029,1,72.36883907136503,4810,2841,0.45454545454545453,0.0008898574650024398,53,67
0.0,#,#,0.0,0.0,#,#,#,#,#,#,0.0,0.21351034764298824,0.7343173431734318,2,73.13968504444351,4984,2868,0.2727272727272727,0.001798671791889441,199,271
1.0,#,1.0,#,#,#,#,1.0,1.0,#,#,1.0,0.33070285774311947,0.8014705882352942,1,73.04774465109006,4997,2881,0.36363636363636365,0.0008982053838844102,109,136
0.0,1.0,#,#,#,#,0.0,#,0.0,#,#,0.0,0.16529662857527172,0.6976744186046512,2,61.83107756253558,4993,2912,0.36363636363636365,0.001520567322737055,90,129
1.0,#,#,#,#,#,#,#,0.0,#,#,0.0,0.11363441579394987,0.6472945891783567,1,68.90642527928273,4998,2921,0.18181818181818182,0.0008592916252828124,323,499
0.0,#,1.0,1.0,1.0,1.0,#,#,#,#,#,1.0,0.21359418239444494,0.734375,1,77.18669947007287,4937,2925,0.45454545454545453,0.0009490985568334426,47,64
#,0.0,1.0,1.0,0.0,#,#,#,0.0,#,#,0.0,1.0,1.0,1,76.7271061216554,4994,2942,0.45454545454545453,0.0009434473321184592,75,75
#,1.0,0.0,0.0,#,0.0,#,#,#,0.0,#,0.0,1.0,1.0,2,83.55508209758798,4976,2945,0.45454545454545453,0.0020548101779029396,60,60
1.0,#,0.0,#,1.0,#,#,1.0,#,#,#,1.0,0.32049431460831423,0.7964601769911505,1,82.23350367036105,4923,2951,0.36363636363636365,0.0010111547739796575,90,113
1.0,#,1.0,#,#,#,#,1.0,1.0,0.0,#,1.0,0.2495343537242618,0.7575757575757576,1,73.84609339175026,4966,2955,0.45454545454545453,0.0009080219927407609,50,66
0.0,#,#,1.0,#,#,#,#,#,#,#,1.0,0.08815127344301964,0.6152416356877324,1,65.89735116257107,4980,2966,0.18181818181818182,0.0008102831357854889,331,538
#,0.0,0.0,#,#,0.0,#,1.0,#,#,#,1.0,0.23376289008649898,0.7477477477477478,1,85.39020080004994,4923,2979,0.36363636363636365,0.0010499699676686897,83,111
0.0,#,#,1.0,1.0,1.0,#,0.0,#,#,#,1.0,0.620921323059155,0.9090909090909091,1,78.97609934645538,4937,2992,0.45454545454545453,0.0009711012704088698,50,55
1.0,#,0.0,#,#,#,#,#,#,1.0,#,1.0,0.25746624057168443,0.7623318385650224,1,58.944961840532585,4983,3003,0.2727272727272727,0.0007247955748793596,170,223
#,1.0,#,#,#,#,1.0,#,#,#,#,1.0,0.09631919486940654,0.6262425447316103,2,63.50612305253614,4983,3004,0.18181818181818182,0.01868914616010943,315,503
1.0,#,0.0,#,#,#,#,1.0,#,#,1.0,1.0,0.2373046875,0.75,1,86.04367256320032,4860,3025,0.36363636363636365,0.0010580051487503461,78,104
0.0,0.0,#,1.0,#,#,#,#,#,#,#,1.0,0.20797359839616547,0.73046875,2,65.07350778785246,4953,3028,0.2727272727272727,0.0016003060826169113,187,256
0.0,0.0,#,#,1.0,#,0.0,#,#,#,#,1.0,0.267181325549568,0.768,2,52.20554138788414,4961,3028,0.36363636363636365,0.0012838534185325653,96,125
#,#,0.0,0.0,#,1.0,#,0.0,#,#,#,0.0,0.12901076218572022,0.6639344262295082,1,67.99254519825662,4954,3036,0.36363636363636365,0.0008360459375273383,81,122
0.0,1.0,1.0,#,#,#,1.0,#,#,#,#,1.0,1.0,1.0,11,75.74799414321593,4975,3047,0.36363636363636365,0.010245488362596918,144,144
#,0.0,1.0,#,1.0,#,#,#,#,#,#,1.0,0.23889733068959731,0.751004016064257,3,66.44827201192047,4965,3048,0.2727272727272727,0.0025383049742403623,187,249
#,#,1.0,0.0,0.0,#,0.0,#,#,#,#,0.0,0.23044663552247954,0.7456140350877193,1,67.47195234140749,4984,3066,0.36363636363636365,0.0008296446542424521,85,114
#,1.0,#,#,#,#,#,#,#,0.0,#,0.0,0.0983046073318026,0.6288032454361054,1,69.66914431625251,4993,3072,0.18181818181818182,0.0008566616370481488,310,493
0.0,#,0.0,1.0,#,#,#,#,#,#,#,1.0,0.2373046875,0.75,3,77.24522768605843,4980,3074,0.2727272727272727,0.0028494546841273116,186,248
0.0,#,1.0,#,1.0,#,1.0,#,#,#,#,1.0,1.0,1.0,13,83.162954770474,4975,3086,0.36363636363636365,0.013293584667504035,131,131
1.0,0.0,#,#,#,#,#,0.0,#,0.0,#,0.0,0.2662118732867609,0.7674418604651163,2,70.8491217354527,4954,3090,0.36363636363636365,0.001742341612057313,99,129
1.0,#,0.0,#,1.0,#,1.0,1.0,#,#,#,1.0,0.37661050772165766,0.8225806451612904,1,85.60037272368201,4917,3094,0.45454545454545453,0.0010525542713217232,51,62
1.0,1.0,#,#,#,#,#,1.0,1.0,0.0,#,0.0,0.12071966324265888,0.6551724137931034,1,64.1276609093453,4919,3116,0.45454545454545453,0.0007885227745197503,38,58
0.0,#,1.0,#,1.0,#,#,#,#,#,#,1.0,0.19649623617673456,0.7222222222222222,2,68.84617352156168,4975,3146,0.2727272727272727,0.0016930845438767217,182,252
#,1.0,0.0,#,#,1.0,1.0,0.0,#,#,#,1.0,0.08943359730521624,0.6170212765957447,1,73.49582830617989,4962,3204,0.45454545454545453,0.0009037150837848613,29,47
0.0,1.0,#,#,#,#,1.0,#,#,#,#,1.0,0.28462802079628785,0.7777777777777778,2,77.2010716036724,4975,3204,0.2727272727272727,0.0018985505572355723,189,243
#,0.0,1.0,#,1.0,#,#,#,1.0,#,#,1.0,1.0,1.0,12,70.5715065478052,4965,3205,0.36363636363636365,0.010913718008882528,118,118
1.0,1.0,1.0,#,#,#,#,#,#,#,1.0,1.0,1.0,1.0,7,70.42284329563101,4974,3213,0.36363636363636365,0.006061504582941015,98,98
#,1.0,#,#,#,#,1.0,#,#,1.0,1.0,1.0,0.5581181957847601,0.8899082568807339,2,75.4920346109288,4975,3213,0.36363636363636365,0.0018565214368165335,97,109
#,1.0,0.0,#,#,#,#,0.0,1.0,1.0,#,1.0,0.1894692059725282,0.7169811320754716,1,63.995202936187695,4850,3219,0.45454545454545453,0.0007868940525763576,38,53
0.0,1.0,#,#,1.0,0.0,#,#,0.0,#,#,0.0,0.2535525376,0.76,2,75.79730305076542,4725,3229,0.45454545454545453,0.0018640286845077777,38,50
1.0,1.0,#,#,#,#,#,#,#,#,0.0,0.0,0.2129695166622419,0.7339449541284404,1,58.624274743918164,4998,3232,0.2727272727272727,0.0007012531565236575,160,218
1.0,#,1.0,#,#,#,#,#,#,#,0.0,0.0,0.22790396286717693,0.7439613526570048,3,65.35337637694644,4998,3233,0.2727272727272727,0.0025103365614870332,154,207
#,#,1.0,#,0.0,#,#,#,0.0,#,#,0.0,0.2116477735782368,0.7330316742081447,1,76.67377565015784,4998,3242,0.2727272727272727,0.00097867717159503,162,221
1.0,0.0,#,#,0.0,#,#,0.0,#,#,#,0.0,0.3366816616594237,0.8043478260869565,1,69.75480391004764,4960,3255,0.36363636363636365,0.0008577149195101281,74,92
#,#,0.0,0.0,#,#,#,0.0,#,0.0,#,0.0,0.670176922268936,0.9230769230769231,2,79.35783593576357,4976,3255,0.36363636363636365,0.0019515903148381432,108,117
0.0,#,0.0,#,#,0.0,0.0,#,#,#,#,0.0,0.2575412249143059,0.7623762376237624,1,81.91607275881793,4976,3267,0.36363636363636365,0.0010072515986643727,77,101
1.0,0.0,0.0,#,#,#,#,1.0,#,#,#,1.0,1.0,1.0,17,79.18440012023848,4959,3268,0.36363636363636365,0.016552263624365043,108,108
#,1.0,#,#,#,1.0,1.0,#,#,#,1.0,1.0,0.42835776805700126,0.8440366972477065,1,84.54635008648793,4966,3270,0.36363636363636365,0.001039593860127842,92,109
0.0,#,#,#,1.0,#,1.0,1.0,#,0.0,#,1.0,0.2373046875,0.75,1,80.25470375369756,4953,3274,0.45454545454545453,0.0009868231707622452,54,72
#,1.0,#,0.0,#,0.0,#,#,#,0.0,0.0,0.0,0.3632654951131687,0.8166666666666667,2,78.89280283329738,4944,3278,0.45454545454545453,0.001940154089440228,49,60
#,#,1.0,#,1.0,#,#,#,1.0,1.0,#,1.0,0.1877644812763284,0.7156862745098039,1,64.92007273681133,4975,3284,0.36363636363636365,0.0008226129654601838,73,102
0.0,0.0,0.0,1.0,#,#,#,#,#,#,#,1.0,1.0,1.0,15,70.95572192641994,4953,3292,0.36363636363636365,0.013087223655459791,106,106
#,0.0,#,#,#,#,#,#,0.0,#,#,0.0,0.10402365824199523,0.6359550561797753,1,74.56537787991138,4994,3296,0.18181818181818182,0.0009168664163830892,283,445
1.0,#,0.0,0.0,#,0.0,#,#,#,0.0,#,0.0,0.3591654751124945,0.8148148148148148,1,80.57811611720538,4851,3317,0.45454545454545453,0.0009907998948555767,44,54
1.0,0.0,0.0,1.0,1.0,#,#,1.0,#,#,0.0,0.0,0.0,0.0,1,95.25299121799168,3325,3325,0.6363636363636364,0.0011712442314509958,0,18
#,0.0,0.0,1.0,#,#,#,1.0,#,#,#,1.0,1.0,1.0,11,94.33399990694261,4953,3326,0.36363636363636365,0.012759386029634686,107,107
1.0,0.0,#,0.0,#,#,#,0.0,0.0,#,#,0.0,1.0,1.0,4,83.2633876082734,4960,3332,0.45454545454545453,0.00409527348927341,48,48
#,#,#,1.0,1.0,#,#,#,#,#,#,1.0,0.09490313149280633,0.624390243902439,1,61.658495634252816,4980,3339,0.18181818181818182,0.0007724819496522156,256,410
#,1.0,0.0,#,#,1.0,#,#,#,#,#,1.0,0.18022552144713302,0.7098445595854922,2,71.96950121916055,4980,3340,0.2727272727272727,0.001769894300756101,137,193
#,#,1.0,#,#,0.0,#,#,1.0,#,1.0,1.0,0.1690985770988323,0.7008547008547008,1,69.6320832407956,4975,3342,0.36363636363636365,0.0008562059288306405,82,117
1.0,#,1.0,1.0,0.0,#,#,#,1.0,0.0,0.0,0.0,0.2373046875,0.75,1,62.200442880000004,4658,3358,0.6363636363636364,0.0007648254294730923,9,12
1.0,0.0,#,#,#,#,#,1.0,1.0,#,#,1.0,1.0,1.0,15,78.05030256403617,4997,3364,0.36363636363636365,0.014395763136496438,98,98
0.0,1.0,#,#,1.0,#,0.0,#,#,1.0,0.0,0.0,0.16291487262254356,0.6956521739130435,1,71.14069575990929,4774,3377,0.5454545454545454,0.0008747560414088681,16,23
1.0,0.0,#,#,#,1.0,1.0,1.0,#,#,#,1.0,0.11878715787945013,0.6530612244897959,1,76.1949075026558,4959,3381,0.45454545454545453,0.0009369033427432287,32,49
#,0.0,0.0,1.0,1.0,#,#,1.0,#,#,#,1.0,1.0,1.0,2,96.63817189942537,4953,3386,0.45454545454545453,0.0023765532174446317,58,58
1.0,0.0,#,1.0,1.0,0.0,0.0,0.0,0.0,#,#,0.0,1.0,1.0,1,52.2,4702,3410,0.7272727272727273,0.0006418585715783156,6,6
1.0,#,0.0,#,1.0,0.0,#,1.0,#,#,#,1.0,0.3276800000000001,0.8,2,85.84239313826977,4923,3440,0.45454545454545453,0.0021110603770342546,32,40
#,0.0,0.0,#,1.0,#,#,1.0,#,#,#,1.0,0.14422020513415318,0.6788990825688074,1,77.3497025689587,4953,3440,0.36363636363636365,0.0009511028659563105,74,109
1.0,1.0,#,#,#,#,#,#,#,#,1.0,1.0,0.16594971598164884,0.6982248520710059,2,67.63612942437541,4974,3457,0.2727272727272727,0.001663326797678762,118,169
#,0.0,0.0,1.0,#,#,#,#,#,#,#,1.0,0.22190066239999998,0.74,2,66.85485142242514,4953,3458,0.2727272727272727,0.0016441133883938056,148,200
0.0,#,#,0.0,1.0,0.0,#,#,0.0,1.0,#,0.0,0.0852316508323596,0.6111111111111112,1,64.15165231513599,4517,3482,0.5454545454545454,0.0007888177762333704,11,18
0.0,#,#,0.0,0.0,#,#,0.0,#,#,#,0.0,0.20195413267088946,0.7261904761904762,1,74.74240331124103,4971,3493,0.36363636363636365,0.0009190431460858916,61,84
#,#,1.0,#,#,#,1.0,#,#,#,#,1.0,0.09829259611446058,0.6287878787878788,1,70.38617633020098,4975,3494,0.18181818181818182,0.0009334726334337575,249,396
0.0,0.0,#,1.0,#,#,#,1.0,#,0.0,#,1.0,0.13900144363810318,0.6739130434782609,1,75.42764986121676,4953,3499,0.45454545454545453,0.0009274690344335236,31,46
#,1.0,1.0,#,0.0,#,#,#,1.0,#,0.0,0.0,0.17831521367830508,0.7083333333333334,1,58.87292248256205,4882,3534,0.45454545454545453,0.0007239097687605017,34,48
0.0,#,1.0,#,0.0,#,#,#,#,#,1.0,0.0,0.21208362139917689,0.7333333333333333,1,63.31919631612107,4898,3549,0.36363636363636365,0.0007785817797117321,77,105
#,1.0,1.0,0.0,1.0,0.0,#,#,0.0,#,1.0,0.0,0.03125,0.5,1,61.431999999999995,4472,3564,0.6363636363636364,0.0007553765473026644,4,8
0.0,#,0.0,1.0,0.0,1.0,#,#,#,1.0,#,1.0,1.0,1.0,2,69.07244272203145,4942,3568,0.5454545454545454,0.0016986490199612312,27,27
1.0,0.0,#,#,#,1.0,#,1.0,0.0,#,#,1.0,0.06391305182160717,0.5769230769230769,1,72.72760578948395,4839,3578,0.45454545454545453,0.0008942689112327396,30,52
1.0,#,#,0.0,#,#,1.0,0.0,0.0,#,1.0,0.0,0.28462802079628785,0.7777777777777778,1,80.06783897501695,4864,3582,0.5454545454545454,0.0009845254550549228,14,18
#,1.0,1.0,#,#,#,#,#,#,#,1.0,1.0,0.17803190389495654,0.7081081081081081,1,71.70857908181021,4975,3620,0.2727272727272727,0.0008817388149302949,131,185
0.0,#,#,#,0.0,#,0.0,0.0,1.0,#,#,0.0,0.15514789954105912,0.6888888888888889,1,64.27600970854493,4902,3621,0.45454545454545453,0.0007903468923042261,31,45
1.0,0.0,#,#,#,#,#,#,1.0,1.0,#,1.0,0.21441675208427144,0.7349397590361446,1,57.99188380333841,4997,3630,0.36363636363636365,0.0007161254785716871,61,83
#,#,0.0,1.0,#,#,#,#,#,1.0,#,1.0,0.22136886684083779,0.7396449704142012,2,66.37671976940548,4980,3661,0.2727272727272727,0.001632355039741178,125,169
0.0,#,0.0,#,#,0.0,#,#,0.0,#,#,0.0,0.29736106072562635,0.7846153846153846,1,74.41078038381356,4971,3662,0.36363636363636365,0.0009149654637391249,51,65
#,0.0,0.0,1.0,#,#,#,#,#,0.0,#,1.0,0.1882412826591052,0.7160493827160493,1,82.62270235549886,4953,3668,0.36363636363636365,0.0010159404159739624,58,81
0.0,0.0,#,#,0.0,#,#,#,#,#,#,0.0,0.24416275272426974,0.7542857142857143,1,65.3641934807114,4984,3672,0.2727272727272727,0.0008037273536378942,132,175
#,0.0,#,1.0,#,#,#,1.0,#,#,0.0,1.0,0.15601271289092586,0.6896551724137931,1,76.56809878598538,4997,3686,0.36363636363636365,0.0009414921554643667,60,87
#,#,0.0,#,#,#,#,#,#,1.0,#,1.0,0.09069347857475282,0.61875,1,60.940497093384884,4983,3691,0.18181818181818182,0.0007493329581538797,198,320
#,0.0,1.0,1.0,0.0,#,#,#,#,#,#,0.0,0.27550608968587587,0.7727272727272727,1,66.85494179046759,4994,3695,0.36363636363636365,0.0008220578053751143,68,88
0.0,0.0,#,#,0.0,#,#,1.0,#,#,#,0.0,0.2603721506332408,0.7640449438202247,1,68.54072669993536,4984,3701,0.36363636363636365,0.0008427864546850619,68,89
1.0,0.0,#,#,#,#,#,#,1.0,#,#,1.0,0.21271034561151744,0.7337662337662337,2,62.787325750892286,4997,3717,0.2727272727272727,0.0015796645356176877,113,154
#,1.0,#,1.0,#,0.0,#,#,#,0.0,0.0,0.0,0.4779830563763579,0.8627450980392157,1,71.74899004946003,4935,3719,0.45454545454545453,0.0008822357138952721,44,51
#,#,0.0,1.0,#,#,#,1.0,#,1.0,#,1.0,0.44855981016533175,0.8518518518518519,2,88.9170126034432,4980,3738,0.36363636363636365,0.0021866722873048715,69,81
#,0.0,0.0,#,#,1.0,#,1.0,0.0,#,#,1.0,0.2084017036410597,0.7307692307692307,1,58.01429323887411,4839,3741,0.45454545454545453,0.0007133519423262312,38,52
#,#,1.0,#,#,0.0,#,#,0.0,#,0.0,0.0,0.3276800000000001,0.8,1,72.76930561876357,4998,3750,0.36363636363636365,0.0009186647779858088,64,80
#,1.0,0.0,#,#,0.0,#,#,0.0,#,#,0.0,0.12124135504590608,0.6557377049180327,1,64.20631327732708,4905,3769,0.36363636363636365,0.0007894898951435825,40,61
1.0,0.0,#,#,1.0,0.0,#,0.0,1.0,#,#,0.0,0.08356049390158359,0.6086956521739131,1,53.10669882550916,4989,3770,0.5454545454545454,0.0006410393231175366,14,23
#,1.0,0.0,#,#,#,#,#,#,1.0,#,1.0,0.23162780493522572,0.7463768115942029,1,65.05850245842215,4983,3771,0.2727272727272727,0.0007999685336587582,103,138
1.0,#,1.0,#,#,#,0.0,#,0.0,#,#,0.0,0.3276800000000001,0.8,1,66.01622335592711,4994,3772,0.36363636363636365,0.0008117448050618853,52,65
1.0,#,1.0,#,0.0,1.0,#,#,#,#,0.0,0.0,0.095367431640625,0.625,1,66.78495417796653,4756,3772,0.45454545454545453,0.0008211972278082923,20,32
#,#,0.0,0.0,#,0.0,#,#,#,#,1.0,0.0,0.22621766644850363,0.7428571428571429,1,74.34997429676795,4976,3789,0.36363636363636365,0.0009142177835058996,52,70
0.0,1.0,#,#,#,1.0,#,#,#,1.0,#,1.0,0.2555505776547269,0.7611940298507462,1,80.49868082749838,4980,3801,0.36363636363636365,0.0009898231473156485,51,67
0.0,#,1.0,#,#,#,0.0,#,#,#,0.0,0.0,0.3213298050686717,0.796875,1,69.99061245597184,4993,3806,0.36363636363636365,0.0008606144546912175,51,64
0.0,1.0,#,#,0.0,#,1.0,#,#,1.0,#,1.0,0.36131873917399904,0.8157894736842105,1,67.8731542335828,4934,3815,0.45454545454545453,0.0008345778893655586,31,38
1.0,#,1.0,#,#,#,1.0,#,0.0,#,#,0.0,0.38605762138600824,0.8266666666666667,1,79.53982849921223,4998,3817,0.36363636363636365,0.0010227289098077219,62,75
