Label,A_0,A_1,A_2,R_0,R_1,R_2,R_3,R_4,R_5,R_6,R_7
Specificity Sum,632,658,687,273,240,254,294,271,306,230,251
Accuracy Sum,551.4904373830761,574.0019132055135,600.3798628390699,221.35213083102823,195.79093827533723,209.26430449567957,246.21194306902422,225.2464965440571,245.59483506509466,192.35336808615207,206.24626517541938
