Iteration,Accuracy (approx),Average Population Generality,Macropopulation Size,Micropopulation Size,Match Set Size,Correct Set Size,Average Iteration Age of Correct Set Classifiers,# Classifiers Subsumed in Iteration,# Crossover Operations Performed in Iteration,# Mutation Operations Performed in Iteration,# Covering Operations Performed in Iteration,# Deletion Operations Performed in Iteration,Total Global Time,Total Matching Time,Total Deletion Time,Total Subsumption Time,Total Selection Time,Total Evaluation Time
15,,,14,14,1,1,15.0,0,0,0,1,0,0.0016720294952392578,0.00018548965454101562,1.621246337890625e-05,2.4557113647460938e-05,0.0,0.0009126663208007812
16,,,15,15,1,1,16.0,0,0,0,1,0,0.00177001953125,0.00020551681518554688,1.71661376953125e-05,2.6702880859375e-05,0.0,0.0009598731994628906
17,,,16,16,1,1,17.0,0,0,0,1,0,0.001870870590209961,0.00022673606872558594,1.8358230590820312e-05,2.86102294921875e-05,0.0,0.0010058879852294922
18,,,16,16,1,1,0.0,0,0,0,0,0,0.001964092254638672,0.0002529621124267578,1.9311904907226562e-05,3.0517578125e-05,0.0,0.001050710678100586
19,,,17,17,1,1,19.0,0,0,0,1,0,0.0020627975463867188,0.0002739429473876953,1.9311904907226562e-05,3.266334533691406e-05,0.0,0.0010945796966552734
20,,,18,18,1,1,20.0,0,0,0,1,0,0.002165079116821289,0.0002970695495605469,2.0265579223632812e-05,3.361701965332031e-05,0.0,0.0011396408081054688
21,,,19,19,2,1,21.0,0,0,0,1,0,0.0022749900817871094,0.0003228187561035156,2.1219253540039062e-05,3.4332275390625e-05,0.0,0.0011868476867675781
22,,,20,20,2,1,22.0,0,0,0,1,0,0.0023870468139648438,0.00034999847412109375,2.2172927856445312e-05,3.647804260253906e-05,0.0,0.0012359619140625
23,,,21,21,2,1,23.0,0,0,0,1,0,0.002499818801879883,0.0003809928894042969,2.3365020751953125e-05,3.8623809814453125e-05,0.0,0.00128173828125
24,,,21,21,1,1,4.0,0,0,0,0,0,0.002597808837890625,0.00041294097900390625,2.4318695068359375e-05,4.0531158447265625e-05,0.0,0.0013279914855957031
25,,,21,21,1,1,5.0,0,0,0,0,0,0.0026929378509521484,0.0004429817199707031,2.4318695068359375e-05,4.267692565917969e-05,0.0,0.0013730525970458984
26,,,22,22,1,1,26.0,0,0,0,1,0,0.00279998779296875,0.0004718303680419922,2.5272369384765625e-05,4.363059997558594e-05,0.0,0.0014181137084960938
27,,,22,22,2,1,21.0,0,0,0,0,0,0.002902984619140625,0.0005049705505371094,2.6226043701171875e-05,4.482269287109375e-05,0.0,0.001463174819946289
28,,,23,23,1,1,28.0,0,0,0,1,0,0.003010988235473633,0.0005352497100830078,2.7179718017578125e-05,4.696846008300781e-05,0.0,0.001508474349975586
29,,,24,24,1,1,29.0,0,0,0,1,0,0.003118753433227539,0.0005662441253662109,2.8133392333984375e-05,4.9114227294921875e-05,0.0,0.0015544891357421875
30,,,26,26,1,1,30.0,0,0,2,0,0,0.0033578872680664062,0.0006012916564941406,2.9325485229492188e-05,8.296966552734375e-05,2.09808349609375e-05,0.0015985965728759766
31,,,26,26,2,1,12.0,0,0,0,0,0,0.0034770965576171875,0.0006384849548339844,2.9325485229492188e-05,8.416175842285156e-05,2.09808349609375e-05,0.0016536712646484375
32,,,27,27,3,1,32.0,0,0,0,1,0,0.0036039352416992188,0.0006744861602783203,3.0040740966796875e-05,8.535385131835938e-05,2.09808349609375e-05,0.0017046928405761719
33,,,28,28,2,1,33.0,0,0,0,1,0,0.003726959228515625,0.0007112026214599609,3.0994415283203125e-05,8.749961853027344e-05,2.09808349609375e-05,0.0017535686492919922
34,,,28,28,1,1,28.0,0,0,0,0,0,0.003835916519165039,0.0007519721984863281,3.218650817871094e-05,8.845329284667969e-05,2.09808349609375e-05,0.0017998218536376953
